Unit,headcode,origin_loc,origin_dep_dt,cif_uid
BN09,5D02,FRMPKRS,02:27:00,Y62351
BN07,1A00,NEWANG,05:35:00,Y61948
BN01,5N80,FRMPKRS,04:40:00,Y62447
BN08,5D01,BNDSGRN,02:08:00,Y62350
BN01,5Y52,KNGX,00:53:00,Y62559
BN08,5Y50,KNGX,00:42:00,Y62557
BN08,5Y50,BOWERRL,01:51:00,
BN87,0Z00,DONC,02:52:00,
BN28,3N04,KNGX,01:25:00,Y62320
BN07,3A00,BNDSGRN,01:00:00,Y62310
BN26,1A02,LEEDS,05:30:00,Y61951
BN19,1Y14,BRWCKUT,06:00:00,Y62287
BN04,5Y11,HTONTMD,06:00:00,Y62518
BN19,3Y14,HTONTMD,04:30:00,Y62323
BN15,3A13,NEVLTMD,05:32:00,Y62333
BN10,5A07,NEVLTMD,00:08:00,Y62330
BN04,5N34,NWCSTLE,00:54:00,Y62442
EC51,5N35,NWCSTLE,02:26:00,Y62445
BN21,5E06,PLMDCMD,06:00:00,Y62392
EC51,5S01,HTONTMD,05:51:00,Y62448
BN13,5E01,CRGNTNY,04:47:00,Y62383
BN16,5Y03,HTONTMD,04:00:00,Y62511
BN16,1Y03,NWCSTLE,04:45:00,Y62280
BN30,5Y05,HTONTMD,04:39:00,Y62514
BN13,1E01,EDINBUR,05:40:00,Y62103
BN30,1Y05,NWCSTLE,05:25:00,Y62282
BN28,1N04,KNGX,06:15:00,Y62178
BN14,5E04,CRGNTNY,06:21:00,Y62388
EC51,1S01,NWCSTLE,06:22:00,Y62207
NL65,3A12,NEVLTMD,04:20:00,Y62313
EC56,5E11,ABRDCH,06:25:00,Y62401
EC60,3B81,NEVLTMD,04:40:00,Y62315
BN04,1Y11,NWCSTLE,06:30:00,Y62285
EC61,5A04,NEVLTMD,05:18:00,Y62327
EC53,5A01,NEVLTMD,04:25:00,Y62325
BN09,1D02,KNGX,06:30:00,Y62034
EC61,1A04,LEEDS,06:05:00,Y61952
EC64,5D33,LEEDS,00:25:00,Y62379
EC64,5S03,NEVLTMD,06:18:00,Y62455
BN14,1E04,EDINBUR,06:55:00,Y62107
NL65,1A12,HULL,07:00:00,Y61959
EC64,1S03,LEEDS,07:10:00,Y62211
BN01,1N80,KNGX,07:08:00,Y62202
BN29,1S05,KNGX,07:00:00,Y62215
BN29,5S05,BNDSGRN,05:25:00,Y62459
EC60,1B81,LINCLNC,07:20:00,Y62020
67022,0Z00,KNGX,03:22:00,
BN20,5D03,BNDSGRN,05:50:00,Y62352
BN20,1D03,KNGX,07:05:00,Y62035
EC56,1E11,ABRDEEN,07:52:00,Y62123
EC54,1E13,IVRNESS,07:55:00,Y62128
EC62,3A15,NEVLTMD,06:22:00,Y62335
BN07,1S07,KNGX,08:00:00,Y62220
EC62,1A15,HAGT,07:34:00,Y61962
EC62,5E30,LEEDS,00:55:00,Y62421
BN25,1D04,KNGX,07:35:00,Y62037
BN06,1S06,KNGX,07:30:00,Y62218
BN06,5S06,BNDSGRN,06:05:00,Y62463
BN25,5D04,BNDSGRN,06:33:00,Y62353
EC51,1E07,EDINBUR,08:30:00,Y62113
BN26,1D06,KNGX,08:35:00,Y62040
BN16,1D07,KNGX,09:03:00,Y62041
EC61,1N81,KNGX,09:08:00,Y62203
EC52,5E15,ABRDCH,09:05:00,Y62408
EC59,1E05,EDINBUR,07:30:00,Y62109
EC63,5A09,NEVLTMD,06:31:00,Y62331
EC63,1A09,LEEDS,07:15:00,Y61956
BN09,1A19,LEEDS,09:16:00,Y61967
EC63,5D36,LEEDS,02:46:00,Y62382
EC59,5E05,CRGNTNY,06:57:00,Y62390
BN18,1S09,KNGX,09:00:00,Y62224
BN23,5N08,BNDSGRN,07:20:00,
BN23,1N08,KNGX,08:30:00,Y62179
BN18,5S09,BNDSGRN,07:49:00,Y62470
BN23,5Y27,KNGX,03:00:00,
BN08,5Y24,KNGX,22:57:00,Y62534
BN15,5E25,EDINBUR,21:36:00,Y62417
BN30,1S10,KNGX,09:30:00,Y62227
BN20,1A20,LEEDS,09:45:00,Y61970
EC52,1E15,ABRDEEN,09:52:00,Y62134
BN28,5Y27,NWCSTLE,09:59:00,Y62542
EC60,1S11,KNGX,10:00:00,Y62230
BN01,1Y82,YORK,10:03:00,Y62304
EC63,1D09,KNGX,10:03:00,Y62045
BN29,1D25,KNGX,17:49:00,Y62081
BN29,1A52,LEEDS,20:45:00,Y62017
BN04,1B82,KNGX,10:08:00,Y62022
BN25,1A22,LEEDS,10:15:00,Y61971
BN10,5S23,GLGC,21:52:00,Y62494
BN28,1Y27,NWCSTLE,10:25:00,Y62295
BN10,3A07,LEEDS,05:14:00,Y62329
67003,0Z16,DONC,09:15:00,
BN23,5Y49,KNGX,21:55:00,Y62554
BN23,1A49,LEEDS,19:16:00,Y62011
BN13,1S13,KNGX,11:00:00,Y62235
NL65,1D11,KNGX,11:05:00,Y62049
BN19,1N83,KNGX,11:08:00,Y62204
BN26,1A26,LEEDS,11:15:00,Y61975
BN03,5E02,CRGNTNY,05:00:00,Y62384
BN18,5Y18,KNGX,19:07:00,Y62525
BN16,1A28,LEEDS,11:45:00,Y61978
BN04,1B83,NEWANG,11:54:00,Y62023
BN23,5Y32,NWCSTLE,12:00:00,Y62544
BN29,1E14,EDINBUR,12:00:00,Y62131
EC62,1S16,KNGX,12:00:00,Y62242
EC61,1Y84,YORK,12:03:00,Y62305
BN22,5000,CRGNTNY,05:48:00,Y62386
BN12,3S02,NEVLTMD,04:50:00,Y62453
EC55,5Y08,HTONTMD,05:12:00,Y62515
BN24,5A06,NEVLTMD,05:52:00,Y62328
BN14,1N17,KNGX,12:30:00,Y62183
BN23,1Y32,NWCSTLE,12:25:00,Y62296
EC56,1A48,LEEDS  ,18:45:00,Y62009
BN06,5S06,EDINBUR,12:36:00,Y62465
BN09,1D14,KNGX,12:35:00,Y62057
EC52,5S28,EDINBUR,22:57:00,Y62505
EC63,1A30,LEEDS,12:45:00,Y61982
BN01,1S18,KNGX,13:00:00,Y62247
BN20,1D15,KNGX,13:05:00,Y62058
EC59,1N85,KNGX,13:08:00,Y62205
BN06,5D30,LEEDS,21:59:00,Y62374
EC64,5E25,ABRDEEN,13:15:00,Y62416
BN21,1S32,KNGX,19:30:00,Y62279
BN07,1E17,EDINBUR,13:30:00,Y62139
BN25,1N19,KNGX,13:30:00,Y62184
BN06,5E19,CRGNTNY,13:41:00,Y62411
NL65,1A33,LEEDS,13:45:00,Y61986
EC55,1Y08,NWCSTLE,06:00:00,Y62283
BN18,1E18,EDINBUR,14:00:00,Y62142
EC51,1S20,KNGX,14:00:00,Y62252
EC53,1A01,LEEDS,05:05:00,Y61949
BN19,1Y86,YORK,14:02:00,Y62306
BN26,1B86,KNGX,14:08:00,Y62026
BN08,1D01,KNGX,05:50:00,Y62033
BN10,1D08,KNGX,09:35:00,Y62044
BN10,1A07,BRADFS,06:30:00,Y61955
BN10,1A29,LEEDS,12:15:00,Y61979
BN28,1N21,KNGX,14:30:00,Y62185
BN06,1E19,EDINBUR,14:30:00,Y62145
BN07,1D27,KNGX   ,18:33:00,Y62085
BN04,1D18,KNGX,14:35:00,Y62065
BN30,5S10,EDINBUR,14:36:00,Y62473
BN22,1N33,KNGX,20:00:00,Y62194
BN22,1B89,NEWANG,17:54:00,Y62029
BN22,5N33,NWCSTLE,23:06:00,Y62440
BN22,1B85,NEWANG,13:54:00,Y62025
BN22,1B84,KNGX,12:08:00,Y62024
BN22,1000,EDINBUR,06:26:00,Y62105
EC64,1E25,ABRDEEN,14:52:00,Y62161
EC61,1S22,KNGX,15:00:00,Y62257
BN30,5E21,CRGNTNY,14:58:00,Y62413
67022,0Z67,BNDSGRN,04:15:00, 81126
BN16,1D19,KNGX,15:05:00,Y62066
BN09,1A37,LEEDS,15:15:00,Y61992
BN24,1N12,KNGX,10:30:00,Y62181
BN10,1S23,KNGX,15:30:00,Y62260
BN30,1E21,EDINBUR,15:30:00,Y62150
BN24,1A06,LEEDS,06:40:00,Y61954
BN24,1Y38,NWCSTLE,14:25:00,Y62298
BN12,1S02,DONC,06:15:00,Y62209
BN12,1E09,EDINBUR,09:30:00,Y62117
EC57,1D20,KNGX,15:35:00,Y62069
BN12,1N87,KNGX,15:08:00,Y62206
EC57,5E09,CRGNTNY,08:59:00,Y62398
EC57,1E10,EDINBUR,10:00:00,Y62120
BN03,5S26,EDINBUR,21:47:00,Y62501
BN20,1A39,LEEDS,15:45:00,Y61995
BN26,1B87,NEWANG,15:52:00,Y62027
EC63,1S24,KNGX,16:00:00,Y62264
EC59,1Y88,YORK,16:02:00,Y62307
EC56,1D21,KNGX,16:06:00,Y62070
EC55,1A36,LEEDS,14:45:00,Y61990
EC55,1D13,KNGX,12:03:00,Y62054
EC55,3B84,BNDSGRN,11:09:00,Y64261
EC55,5Y08,KNGX,09:40:00,Y64260
BN22,1B88,KNGX,16:09:00,Y62028
BN21,1E06,GLGC,06:50:00,Y62111
BN21,1D17,KNGX,14:05:00,Y62062
BN14,1Y44,NWCSTLE,16:25:00,Y62301
BN13,1E23,EDINBUR,16:30:00,Y62155
BN06,1D30,KNGX,19:33:00,Y62090
BN15,1S25,KNGX,16:30:00,Y62266
BN15,1A31,LEEDS,13:15:00,Y61983
BN23,1D22,KNGX,16:33:00,Y62073
BN15,1D10,KNGX,10:35:00,Y62048
BN15,1A13,SKPT,06:55:00,Y61960
EC53,1A25,LEEDS,10:45:00,Y61974
EC53,1D16,KNGX,13:35:00,Y62061
EC53,1D05,KNGX,08:06:00,Y62038
EC53,1A40,LEEDS,16:15:00,Y61996
BN21,1A41,LEEDS,16:45:00,Y61999
EC59,1B90,KNGX,19:06:00,Y62030
BN03,1D12,KNGX,11:35:00,Y62052
BN08,1A18,LEEDS,08:45:00,Y61965
BN03,1S26,KNGX,17:00:00,Y62269
BN03,100,EDINBUR,05:48:00,Y62104
BN08,1S15,KNGX,11:30:00,Y62239
BN03,1A34,LEEDS,14:15:00,Y61987
BN08,1E24,EDINBUR,17:00:00,Y62158
EC54,1D23,KNGX,17:03:00,Y62075
BN04,1A43,LEEDS,17:15:00,Y62001
NL65,1H10,KNGX,17:19:00,Y62175
BN25,1Y47,NWCSTLE,17:25:00,Y62302
BN19,1N27,KNGX,17:30:00,Y62186
EC55,1D24,KNGX,17:33:00,Y62078
EC52,1S28,KNGX,18:00:00,Y62273
BN28,5N21,NWCSTLE,18:00:00,Y62430
BN12,1Y90,YORK,18:02:00,Y62308
BN09,1N29,KNGX   ,18:19:00,Y62188
BN24,1S30,KNGX   ,18:30:00,Y62276
BN20,1S31,KNGX,19:00:00,Y62277
EC53,1D28,KNGX   ,19:03:00,Y62088
EC62,5S16,IVRNESS,20:34:00,Y62483
BN30,1D32,KNGX,20:35:00,Y62095
EC55,5D24,HAGT,20:58:00,Y62362
BN12,1N34,KNGX   ,21:00:00,Y62197
EC59,5B90,LINCLNC,21:13:00,Y62348
BN19,1Y53,NWCSTLE,21:15:00,Y62303
EC51,5S20,ABRDEEN,21:25:00,Y62487
EC53,5D28,LEEDS,21:29:00,Y62371
BN13,1D33,KNGX,21:35:00,Y62098
EC62,5E13,IVRNTMD,21:41:00,Y62406
EC63,5S24,ABRDEEN,23:20:00,Y62495
BN20,5S31,EDINBUR,23:57:00,Y62508